Dataset identifier;Federated dataset;Title;Description;Themes;Keywords;License;Language;Timezone;Modified;Data processed;Metadata processed;Publisher;Reference;Attributions;Number of records;Size of records in the dataset (in bytes);Reuse count;API call count;Download count;Attachments download count;File fields download count;Popularity score;Visibility (domain or restricted);Published;Publishing properties
appels-doffres;False;Appels d'offres;"<p>Fil RSS des marchés publics (appels d'offres) proposés sur le site web de la Ville de Bruxelles : <a href=""http://www.bruxelles.be/artdet.cfm?function=rss&amp;id=5477"">http://www.bruxelles.be/artdet.cfm?function=rss&amp;id=5477</a>. Les candidats soumissionnaires peuvent aussi s'enregistrer via l'adresse soumissionnaires.bruxelles.be</p>";Administration, Gouvernement, Finances publiques, Citoyenneté,Economie, Business, PME, Développement économique, Emploi;"marché public;appel d'offre";Licence Ouverte (Etalab);fr;;2015-10-14T12:38:23+02:00;;2023-01-31T19:11:55.954000+01:00;Ville de Bruxelles;http://www.bruxelles.be/5477;;0;0;1;5538;147;0;0;4.0;domain;True;manual
aanplakzuilen;False;Aanplakzuilen;<p>Locatie van de aanplakzuilen van de Stad Brussel.</p>;Culture, Patrimoine, Folklore,Administration, Gouvernement, Finances publiques, Citoyenneté;"affiche;poster;aanplak";Licence Ouverte (Etalab);nl;;2014-04-10T14:53:13+02:00;2018-01-07T23:43:48+01:00;2023-01-31T19:11:55.196000+01:00;Stad Brussel/Economische zaken;http://www.brussel.be/6573;;16;531;0;9581;174;0;0;3.9;domain;True;manual
zwembaden;False;Zwembaden;<p>Locatie van de zwembaden van de Stad Brussel.</p>;Sport, Loisirs;zwembad;Licence Ouverte (Etalab);nl;;2014-04-14T15:53:22+02:00;2018-01-08T00:14:18+01:00;2023-01-31T19:11:55.613000+01:00;Stad Brussel/Sport;http://www.brussel.be/4599;;3;243;0;556147;228;0;0;24.8;domain;True;manual
sectors-of-the-local-resident-card;False;Sectors of the local resident card;<p>List of street names of each sector of the local resident (parking) card on the territory of the City of Brussels.</p>;Mobilité, Transports;"mobility;car;parking";Licence Ouverte (Etalab);en;;2014-04-14T15:20:38+02:00;2018-01-08T00:01:18+01:00;2023-01-31T19:11:57.570000+01:00;City of Brussels;http://www.brussels.be/4935;;1655;61882;0;17344;226;0;0;5.0;domain;True;manual
sans-nom;False;Government contracts;"<p>RSS feeds of the government contracts on the website of the City of Brussels:&nbsp;<a href=""http://www.brussels.be/artdet.cfm?function=rss&id=5477"" target=""_blank"">www.brussels.be/artdet.cfm?function=rss&id=5477</a></p>";Administration, Gouvernement, Finances publiques, Citoyenneté,Economie, Business, PME, Développement économique, Emploi;contract;Licence Ouverte (Etalab);en;;2014-04-14T14:01:52+02:00;;2023-01-31T19:11:56.520000+01:00;City of Brussels/Web Unit;http://www.brussels.be/4230;;0;0;0;5105;133;0;0;2.9;domain;True;manual
remarkable-trees;False;Remarkable trees;<p>Location of the remarkable trees on the territory of the City of Brussels.</p>;Environnement, Propreté;tree;Licence Ouverte (Etalab);en;;2014-04-14T15:17:19+02:00;2018-01-07T23:56:30+01:00;2023-01-31T19:11:56.717000+01:00;Ministry of the Brussels-Capital Region/Monuments and Sites;http://www.brussels.be/5869;;1047;181524;0;25458;330;0;0;6.1;domain;True;manual
european-institutions;False;European institutions;<p>Location of the European institutions on the territory of the City of Brussels.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"Europe;institution;parliament;commission";Licence Ouverte (Etalab);en;;2014-04-14T13:31:12+02:00;2019-05-09T14:15:53+02:00;2023-01-31T19:11:57.273000+01:00;City of Brussels;http://www.brussels.be/4881;;5;609;0;382443;198;0;0;20.7;domain;True;manual
evenements-trafic-travaux;False;Evénements trafic & travaux;<p>Evénements trafic (incidents, files...), ainsi que les chantiers perturbants en Région de Bruxelles-Capitale.</p>;Mobilité, Transports;"trafic;travaux;circulation;chantier";contacter Bruxelles Mobilité;fr;;2014-04-06T11:45:52+02:00;2018-01-07T23:53:16+01:00;2023-01-31T19:12:03.739000+01:00;Bruxelles Mobilité;;;59;9568;0;194365;256;0;0;15.1;domain;True;manual
itineraires-cyclables-regionaux;False;Itinéraires cyclables régionaux;<p>Les itinéraires cyclables régionaux sont des cheminements recommandés pour des déplacements à vélo à moyenne et longue distance à travers plusieurs communes. En règle générale, ces itinéraires empruntent des voiries locales, où le trafic est moins dense, moins rapide, et donc moins stressant que sur les voiries principales</p>;Mobilité, Transports;"vélo;cycliste;itinéraire";contacter Bruxelles Mobilité;fr;;2014-05-12T15:44:49+02:00;;2023-01-31T19:12:02.758000+01:00;Bruxelles Mobilité;http://www.bruxellesmobilite.irisnet.be/content/opendata/;;0;0;0;78584;297;0;0;10.0;domain;True;manual
niveaux-de-service-de-trafic;False;Niveaux de service de trafic;<p>Niveaux de service de trafic sur certaines parties du réseau routier de la Région de Bruxelles-Capitale.</p>;Mobilité, Transports;"trafic;route;circulation";Voir producteur;fr;;2014-04-06T05:51:33+02:00;2018-01-07T23:59:38+01:00;2023-01-31T19:12:03.562000+01:00;Bruxelles Mobilité;;;70;17605;0;21887;246;0;0;5.6;domain;True;manual
patrimoine-artistique-de-voirie-regionale-monuments;False;Patrimoine artistique de voirie régionale - Monuments;<p>Recensement geolocalisé des monuments et œuvres d'art situés le long des voiries régionales.</p>;Culture, Patrimoine, Folklore;"monument;patrimoine;art;voirie";;fr;;2014-05-12T15:07:17+02:00;;2023-01-31T19:12:03.479000+01:00;Bruxelles Mobilité;;;0;0;0;4373;93;0;0;2.6;domain;True;manual
bxl_demo_evolutionpop_tranchesage;False;Projection de l'évolution de la population bruxelloise par tranches d'âge;<p>Sur la base de la population bruxelloise en 2012, une projection de l'évolution de la population de la Ville de Bruxelles jusqu'en 2024 par tranches d'âge.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"population;démographie";Licence Ouverte (Etalab);fr;;2014-04-06T11:31:51+02:00;2018-01-08T00:06:21+01:00;2023-01-31T19:12:04.519000+01:00;Ville de Bruxelles/Démographie;;;13;909;0;11711;181;0;0;4.2;domain;True;manual
cultural-places;False;Cultural places;<p>Location of the cultural places of the City of Brussels.</p>;Culture, Patrimoine, Folklore;"culture;museum;theatre";Licence Ouverte (Etalab);en;;2017-03-24T17:15:50+01:00;2019-05-15T13:39:46+02:00;2023-01-31T19:12:02.648000+01:00;City of Brussels/Culture;http://www.brussels.be/4092;;29;3688;0;497207;290;0;0;23.6;domain;True;manual
reservations-dans-les-bibliotheques-francophones-en-2013;False;Réservations dans les bibliothèques francophones en 2013;<p>Le classement des réservations de documents dans les bibliothèques francophones de la Ville de Bruxelles en 2013.</p>;Culture, Patrimoine, Folklore;"bibliothèque;livre";Licence Ouverte (Etalab);fr;;2014-04-06T11:25:14+02:00;2018-01-08T00:02:31+01:00;2023-01-31T19:12:04.553000+01:00;Ville de Bruxelles/Instruction publique;http://www.bruxelles.be/4649;;165;23629;0;11997;153;0;0;4.2;domain;True;manual
creches-pregardiennats;False;Crèches & prégardiennats;"<p>Localisation des crèches &amp; prégardiennats de la Ville de Bruxelles avec mention de l'organisme de reconnaissance (ONE, Kind &amp; Gezin).</p>";Services, Social;"crèche;prégardiennat;milieu d'accueil;petite enfance";Licence Ouverte (Etalab);fr;;2019-11-28T16:43:18+01:00;2019-11-28T16:43:18+01:00;2023-01-31T19:12:03.849000+01:00;Ville de Bruxelles/Démographie;http://www.bruxelles.be/4760;;33;4229;0;709851;521;0;0;28.4;domain;True;manual
zones-30-dans-le-pentagone-copie;False;Zone 30 at the Pentagon;"<p>Streets in the zone 30 of the Pentagon (city centre)
indicating the adjacent roads and the lengths and widths of the roads.</p>";Mobilité, Transports;"zone 30;Pentagon;car";Licence Ouverte (Etalab);en;;2014-04-14T15:44:46+02:00;;2023-01-31T19:12:04.421000+01:00;City of Brussels/Town Planning;http://www.brussels.be/4365;;0;0;0;1251;6;0;0;1.3;domain;False;manual
projection-de-levolution-de-la-population-bruxelloise-avec-soldes;False;Projection de l'évolution de la population bruxelloise (avec soldes);<p>Sur la base de la population bruxelloise en 2012, une projection de l'évolution de la population de la Ville de Bruxelles jusqu'en 2024, tenant compte du solde naturel (naissances - décès) et du solde migratoire (immigration - émigration).</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"population;émigration;immigration;naissance;décès";Licence Ouverte (Etalab);fr;;2014-04-06T06:06:52+02:00;2018-01-08T00:15:25+01:00;2023-01-31T19:12:05.310000+01:00;Ville de Bruxelles/Démographie;;;13;838;0;11816;181;0;0;4.2;domain;True;manual
demandes-de-permis-denvironnement-introduits;False;Demandes de permis d'environnement introduits;<p>Les demandes de permis d'environnement introduits auprès du département Urbanisme de la Ville de Bruxelles depuis 2010.</p><p>Les permis délivrés concernent souvent des demandes introduites au cours des années précédentes. Les chiffres retenus ici concernent les permis délivrés résultant de demandes introduites au cours des 3 années précédentes.</p>;Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;"permis;urbanisme";Licence Ouverte (Etalab);fr;;2014-04-16T11:53:45+02:00;2018-01-07T23:56:39+01:00;2023-01-31T19:12:09.822000+01:00;Ville de Bruxelles/Urbanisme;;;10;261;0;11532;219;0;0;4.3;domain;True;manual
verwachte-evolutie-van-de-brusselse-bevolking-naar-leeftijdsgroepen;False;Verwachte evolutie van de Brusselse bevolking naar leeftijdsgroepen;"<p>Op basis van de bevolking van Brussel in 2012, een projectie van de
evolutie van de bevolking van de Stad Brussel tot 2024 per leeftijdsgroep.</p>";Administration, Gouvernement, Finances publiques, Citoyenneté;"demografie;bevolking;leeftijd";Licence Ouverte (Etalab);nl;;2014-04-14T15:40:20+02:00;2018-01-08T00:16:36+01:00;2023-01-31T19:12:04.959000+01:00;Stad Brussel/Demografie;;;13;909;0;9521;159;0;0;3.8;domain;True;manual
aanvragen-voor-een-bouwvergunning;False;Aanvragen voor een bouwvergunning;"<p>Aanvragen voor een stedenbouwkundige vergunning bij de
Stad Brussel per bestemming van het goed en sinds 2003.&nbsp;</p>";Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;"stedenbouw;vergunning";Licence Ouverte (Etalab);nl;;2014-04-15T15:56:39+02:00;2018-01-07T23:44:57+01:00;2023-01-31T19:12:11.235000+01:00;Stad Brussel/Stedenbouw;http://www.brussel.be/4908;;11;447;0;10412;262;0;0;4.2;domain;True;manual
arrets-collecto0;False;Arrêts Collecto;"<p>Localisation des arrêts Collecto
en Région de Bruxelles-Capitale.</p>";Mobilité, Transports;"Collecto;taxi;mobilité";Licence Ouverte (Etalab);fr;;2019-07-02T15:27:23+02:00;2019-07-02T15:27:55+02:00;2023-01-31T19:12:06.503000+01:00;Bruxelles Mobilité;;;205;34337;1;142607;179;0;0;13.9;domain;True;manual
gemeenteraadsverkiezingen-procenten;False;Gemeenteraadsverkiezingen (procenten);"<p>Resultaten van de lokale verkiezingen in Brussel sinds
2000 (aantal stemmen per lijst).&nbsp;</p>";Administration, Gouvernement, Finances publiques, Citoyenneté;"gemeenteraad;verkiezing";Licence Ouverte (Etalab);nl;;2014-04-08T13:44:17+02:00;2018-01-08T00:08:50+01:00;2023-01-31T19:12:10.554000+01:00;IBZ;http://www.elections.fgov.be;;33;1082;0;8319;180;0;0;3.7;domain;True;manual
municipal-elections-percentages;False;Municipal elections (percentages);"<p>Results of the local elections in Brussels since 2000
(number of votes per list).&nbsp;</p>";Administration, Gouvernement, Finances publiques, Citoyenneté;"élection;conseil communal";Licence Ouverte (Etalab);en;;2014-04-08T13:59:21+02:00;2018-01-08T00:07:14+01:00;2023-01-31T19:12:10.796000+01:00;IBZ;http://www.elections.fgov.be;;33;1082;0;10662;159;0;0;4.0;domain;True;manual
nurseries-kindergartens;True;Nurseries & kindergartens;"<p>Location of the nurseries and kindergartens of the City specifying the accrediting institution (ONE, Kind &amp; Gezin).</p>";Services, Social;;Licence Ouverte (Etalab);en;;2019-11-28T16:46:36+01:00;2019-11-28T16:43:18+01:00;2023-01-31T19:12:05.762000+01:00;City of Brussels/Demography;http://www.brussels.be/4760;;33;4229;0;178393;169;0;0;14.3;domain;True;federated
regional-cycling-routes;False;Regional cycling routes;"<p>Regional bicycle routes are recommended for medium and long distance cycling
through several municipalities. In general, these routes are local roads, where
traffic is less crowded, slower and less stressful than on the main roads.</p>";Mobilité, Transports;"route;bicycle";contact Bruxelles Mobilité;en;;2014-05-12T15:44:22+02:00;;2023-01-31T19:12:09.179000+01:00;Bruxelles Mobilité;http://www.bruxellesmobilite.irisnet.be/content/opendata/;;0;0;0;180941;164;0;0;14.4;domain;True;manual
aanvragen-voor-geleverde-milieuvergunningen;False;Aanvragen voor geleverde milieuvergunningen;"<p>Aanvragen voor milieuvergunningen die geleverd werden door de Stad Brussel per
bestemming van het goed en sinds 2003.</p>";Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;"aanvraag;milieu;milieuvergunning";Licence Ouverte (Etalab);nl;;2014-04-15T16:20:12+02:00;2018-01-08T00:13:29+01:00;2023-01-31T19:12:11.373000+01:00;Stad Brussel/Stedenbouw;;;10;233;0;8436;202;0;0;3.7;domain;True;manual
submitted-applications-for-an-environmental-permit;False;Submitted applications for an environmental permit;"<p>Submitted applications for environmental permits
by the City of Brussels by destination of the property and since 2003.</p>";Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;"environment;permit";Licence Ouverte (Etalab);en;;2014-04-16T11:55:43+02:00;2018-01-08T00:05:34+01:00;2023-01-31T19:12:11.607000+01:00;City of Brussels/Town Planning;;;10;223;0;9598;167;0;0;3.8;domain;True;manual
data-set-of-the-data-sets;False;Data set of the data sets;"<p>Data set of the data sets of the Open Data platform of
the City of Brussels.</p>";Internet, TIC;dataset;Licence Ouverte (Etalab);en;;2014-05-09T13:07:17+02:00;;2023-01-31T19:12:12.465000+01:00;City of Brussels/Web Unit;http://opendata.brussels.be;;0;0;0;5039;155;83;0;3.0;domain;True;manual
traffic-volume;False;Traffic volume;<p>Traffic intensity at different parts of the regional road network.</p>;Mobilité, Transports;"traffic;road";Licence Ouverte (Etalab);en;;2014-04-16T12:02:22+02:00;2018-01-07T23:58:52+01:00;2023-01-31T19:12:09.658000+01:00;Bruxelles Mobilité;;;70;17605;0;73730;800;0;0;10.3;domain;True;manual
gemeenteraadsverkiezingen-zetels;False;Gemeenteraadsverkiezingen (zetels);"<p>Resultaten van de lokale verkiezingen in Brussel sinds
2000 (aantal zetels per lijst).</p>";Administration, Gouvernement, Finances publiques, Citoyenneté;"gemeenteraad;verkiezing";Licence Ouverte (Etalab);nl;;2014-04-08T13:48:45+02:00;2018-01-07T23:45:00+01:00;2023-01-31T19:12:10.642000+01:00;IBZ;http://www.elections.fgov.be;;33;998;0;8657;165;0;0;3.7;domain;True;manual
public-toilets;True;Public toilets;<p>Location of the public toilets on the territory of the City of Brussels.</p>;WC,Environnement, Propreté;"lavatory;cleanliness";Licence Ouverte (Etalab);en;;2023-01-29T00:00:03+01:00;2023-01-29T00:00:03+01:00;2023-01-31T19:12:13.658000+01:00;City of Brussels/Cleanliness Service;;;75;27598;0;855035;294;0;0;30.7;domain;True;federated
villo-stations-availability-in-real-time;True;Villo! stations & availability in real time;<p>Location of the Villo! stations in the Brussels Capital Region with indication of the availability (bikes, bike stands) in real time.</p>;Mobilité, Transports;"Villo!;bike";Open License v1.0;en;;2014-06-27T01:05:28+02:00;2023-01-31T19:00:06+01:00;2023-01-31T19:12:14.609000+01:00;JCDecaux;https://developer.jcdecaux.com/#/home;;0;0;0;2220410;38142;0;0;58.5;domain;False;federated
energy-consumption;False;Energy consumption;"<p>Energy consumption of the City of Brussels since 2008.&nbsp;</p>";Environnement, Propreté;"energy;gas;electricity;water";Licence Ouverte (Etalab);en;;2014-04-23T12:03:22+02:00;2018-01-08T00:14:14+01:00;2023-01-31T19:12:12.124000+01:00;City of Brussels/Town Planning;;;3;191;0;12720;260;0;0;4.5;domain;True;manual
manneken-pis;False;Manneken-Pis en Photos;;;;;fr;;2014-04-23T13:59:19+02:00;2018-01-07T23:43:59+01:00;2023-01-31T19:12:11.834000+01:00;;;;36;7521;0;11888;124;0;194;4.1;domain;True;manual
zwembaden0;False;Zwembaden;<p>Locatie van de zwembaden van de Stad Brussel.</p>;Sport, Loisirs;"sport;zwembad";Licence Ouverte (Etalab);nl;;2014-07-30T12:36:39+02:00;2018-01-07T23:49:06+01:00;2023-01-31T19:12:16.173000+01:00;Stad Brussel/Sport;http://www.brussel.be/4599;;3;470;0;11140;260;0;0;4.3;domain;True;manual
art-heritage-of-regional-roads-monuments;False;Art heritage of regional roads - Monuments;<p>Geographical inventory of monuments and works of art along the regional roads.</p>;Culture, Patrimoine, Folklore;"monument;art;heritage";contact Bruxelles Mobilité;en;;2014-05-12T15:46:05+02:00;;2023-01-31T19:12:13.073000+01:00;Bruxelles Mobilité;http://www.bruxellesmobilite.irisnet.be/content/opendata/;;0;0;0;5634;93;0;0;2.9;domain;True;manual
updates-of-the-data-sets;False;Updates of the data sets;"<p>RSS feed with updated data sets of the
opendata.brussels.be platform :<a href=""http://opendata.brussels.be/api/datasets/1.0/search?format=rss&amp;sort;=modified"" target=""_blank"">opendata.brussels.be/api/datasets/1.0/search?format=rss&amp;sort;=modified</a></p>";Internet, TIC;"Open Data;RSS";Licence Ouverte (Etalab);en;;;;2023-01-31T19:12:14.114000+01:00;City of Brussels/Web Unit;;;0;0;0;5064;114;0;0;2.9;domain;True;manual
villo-stations-beschikbaarheid-in-real-time;True;Villo!-stations & beschikbaarheid in real time;<p>Locatie van de Villo!-stations in het Brussels Hoofdstedelijk Gewest met indicatie van de beschikbaarheid (fietsen, fietspalen) in real time.</p>;Mobilité, Transports;"Villo!;fiets";Open License v1.0;nl;;2014-06-27T01:05:28+02:00;2023-01-31T19:00:06+01:00;2023-01-31T19:12:14.438000+01:00;JCDecaux;https://developer.jcdecaux.com/#/home;;0;0;0;10346874;108136;0;0;121.3;domain;False;federated
maisons-des-enfants;False;Maisons des Enfants;<p>Localisation des Maisons des Enfants à destination des jeunes Bruxellois (6-12 ans).</p>;Services, Social;"enfant;enfance";Licence Ouverte (Etalab);fr;;2021-12-06T11:10:47+01:00;2021-12-06T11:01:45+01:00;2023-01-31T19:12:19.434000+01:00;Ville de Bruxelles/Famille;http://www.bruxelles.be/4495;;9;1799;0;181905;259;0;0;14.6;domain;True;manual
webcams;False;Webcams;<p>Localisation des webcams permanentes accessibles depuis le site web de la Ville de Bruxelles.</p>;Internet, TIC;"webcam;caméra";Licence Ouverte (Etalab);fr;;2014-07-30T12:07:38+02:00;2018-01-07T23:50:22+01:00;2023-01-31T19:12:15.726000+01:00;Ville de Bruxelles/Cellule Web;http://www.bruxelles.be/5676;;3;483;0;13640;186;0;0;4.5;domain;True;manual
piscines;False;Piscines;<p>Localisation des piscines de la Ville de Bruxelles.</p>;Sport, Loisirs;"piscine;natation";Licence Ouverte (Etalab);fr;;2014-07-30T12:36:39+02:00;2018-01-08T00:03:23+01:00;2023-01-31T19:12:16.056000+01:00;Ville de Bruxelles/Sports;http://www.bruxelles.be/4599;;3;483;0;1196568;237;0;0;36.1;domain;True;manual
dressings-of-manneken-pis;False;Dressings of Manneken-Pis;<p>Days and hours of the dressings of Manneken-Pis (with the name of the costume, the reference and the context of the dressing). </p>;Culture, Patrimoine, Folklore;"Manneken-Pis;folklore";Licence Ouverte (Etalab);en;;2017-03-21T18:03:20+01:00;2018-01-08T00:02:29+01:00;2023-01-31T19:12:20.269000+01:00;City of Brussels/Culture;http://www.brussels.be/4328;;10;1679;0;10744;183;0;0;4.1;domain;True;manual
dechets;False;Déchets;<p>Nombres de tonnes de déchets évacués par le service Propreté publique de la Ville de Bruxelles pour être versés en décharge publique, recyclés ou incinérés.</p>;Environnement, Propreté;"propreté;déchet";Licence Ouverte (Etalab);fr;;2014-09-05T14:02:30+02:00;2018-01-08T00:05:49+01:00;2023-01-31T19:12:18.739000+01:00;Ville de Bruxelles/Propreté;;;3;221;0;11588;186;0;0;4.2;domain;True;manual
geographical-origin-of-the-visits-to-the-website-of-the-city-of-brussels-2013;False;Geographical origin of the visits to the website of the City of Brussels (2010);<p>Countries and territories of the visitors of the website of the City of Brussels (2010), determined by the geographical area of their IP address. Source: Google Analytics.</p>;Internet, TIC;;Licence Ouverte (Etalab);en;;2014-10-23T12:48:06+02:00;2018-01-08T00:09:02+01:00;2023-01-31T19:12:22.779000+01:00;City of Brussels/Web Unit;;;207;3417;0;9345;147;0;0;3.8;domain;True;manual
marches;False;Marchés de plein air;<p>Localisation des marchés de plein air sur le territoire de la Ville de Bruxelles.</p>;Economie, Business, PME, Développement économique, Emploi;"commerce;marché";Licence Ouverte (Etalab);fr;;2017-03-19T19:15:17+01:00;2018-01-07T23:52:22+01:00;2023-01-31T19:12:20.627000+01:00;Ville de Bruxelles/Commerce;http://www.bruxelles.be/4984;;14;1941;0;1088676;1288;0;0;35.5;domain;True;manual
consultaties-voor-kinderen-bij-one;False;Consultaties voor kinderen bij ONE;<p>Locatie van de consultaties voor kinderen (0-6 jaar) bij het Franstalige ONE (Office de la Naissance et de l'Enfance) op het grondgebied van de Stad Brussel.</p>;Santé;"ONE;kind;consultatie;gezondheid";Licence Ouverte (Etalab);nl;;2014-09-18T11:49:30+02:00;2018-01-08T00:03:12+01:00;2023-01-31T19:12:20.487000+01:00;Office de la Naissance et de l'Enfance;http://www.brussel.be/5662;;9;1292;0;10586;192;0;0;4.1;domain;True;manual
