Ville de Bruxelles - Département / Stad Brussel - Departement;Type de marché (Travaux, fournitures, services - objet du marché - procédure de passation - réf CSC);Type opdracht  (werken, leveringen, diensten - voorwerp van de opdracht - plaatsingsprocedure - ref bestek);Date du marché - Datum van de opdracht;Bénéficiaires (opérateur économique à qui le marché a été attribué) / Begunstigden  (onderneming aan wie de opdracht werd toegewezen);Montant engagé TVAC / vastgelegd bedrag btwi;Column 7;Column 8;Column 9;Column 10;Column 11;Column 12;Column 13;Column 14;Column 15;Column 16;Column 17;Column 18;Column 19;Column 20;Column 21;Column 22;Column 23;Column 24;Column 25;Column 26;Column 27;Column 28;Column 29;Column 30;Column 31;Column 32;Column 33;Column 34;Column 35;Column 36;Column 37;Column 38;Column 39;Column 40;Column 41;Column 42;Column 43;Column 44;Column 45;Column 46;Column 47;Column 48;Column 49;Column 50;Column 51;Column 52;Column 53;Column 54;Column 55;Column 56;Column 57;Column 58;Column 59;Column 60;Column 61;Column 62;Column 63;Column 64;Column 65;Column 66;Column 67;Column 68;Column 69;Column 70;Column 71;Column 72;Column 73;Column 74;Column 75;Column 76;Column 77;Column 78;Column 79;Column 80
Ressources humaines / Human resources;"Service - Marché de services ayant pour but l'organisation d’une formation ""Maniement des tracteurs en toute sécurité"" - Faible montant - FORCSC20-10";"Diensten - Dienstopdracht met als doel de organisatie van een vorming ""Veilig gebruik van tractors"" - Beperkte waarde - FORCSC20-10";2021-03-15;CEPS, rue de la Providence, 114 - 6030 Mont-sur-Marchienne;15.566,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ressources humaines / Human resources;"Service - Marché de services ayant pour but l'organisation d’une formation ""Atelier de préparation à la retraite"" - Faible montant - FORCSC21-03";"Diensten - Dienstopdracht met als doel de organisatie van een vorming ""Workshop voorbereiding op het pensioen""- Beperkte waarde - FORCSC21-03";2021-05-15;Sequoia Ways, Rue de Taisnières 29 - 7080 Frameries;7.741,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures reconductible ayant pour but la fourniture, pendant 12 mois, de consommables techniques en électricité  conclu par procédure négociée sans publicité préalable en application de l'article 42 - § 1er - 1°a de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011438/MPG).- Commandes supplémentaires.;Verlengbare overheidsopdracht voor leveringen met het doel de levering, gedurende 12 maanden, van technische verbruiksgoederen in electriciteit afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/011438/MPG).- Bijkomende bestellingen.;2021-01-28;DELABY ELECTRO SA - Havenstraat 74 - 1800 Vilvoorde;25.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but l'analyse, pendant 12 mois, des déclarations trimestrielles de sécurité sociale des travailleurs de la Ville de Bruxelles auprès de l'ONSS conclu par procédure négociée sans publicité préalable en application de l'article 42 - § 1er - 1°a de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011742/DDR).;Overheidsopdracht voor diensten tegen prijslijst met het doel de analyse, gedurende 12 maanden, van de trimestriële sociale zekerheid aangiften van het personeel van de Stad Brussel bij de RSZ afgesloten via onderhandelings-procedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/011742/DDR).;2021-04-02;CAPS CORP SRL - avenue des Princes Brabançons 7 - 1170 Bruxelles;120.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but le recyclage, pendant 60 mois, de chaussures de sécurité pour différents départements de la Ville de Bruxelles conclu par procédure négociée sans publicité préalable en application de l'article 42 - § 1er - 1°a de la loi du 17/06/2016 (cahier spécial des charges n° CDA/008062/NDH).- Commandes supplémentaires.;Overheidsopdracht voor diensten tegen prijslijst met het doel het recycleren, gedurende 60 maanden, van veiligheidsschoenen voor verschillende departementen van de Stad Brussel afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/008062/NDH).- Bijkomende bestellingen.;2021-04-02;MIREILLE NV - Pastoor Paquaylaan 186 - 3550 Heusden-Zolder;16.750,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;"Marché public de fournitures reconductible et à bordereau de prix ayant pour but la fourniture, pendant 12 mois, de refroidisseur d'air écoénergétiques ""Aircoolers"" conclu par faible montant de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011397/PAD).- Commandes supplémentaires.";"Verlengbare overheidsopdracht voor leveringen tegen prijslist met het doel de leveringen, gedurende 12 maanden, van energiezuinige luchtkoelers ""Aircoolers"" afgesloten via beperkte waarde van de wet van 17/06/2016 (bestek nr CDA/011397/PAD).- Bijkomende bestellingen.";2021-11-02;Etablissements Steylemans SA - boulevard Emile Bockstael 412-414 - 1020 Bruxelles;5.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but l'élaboration d'un plan d'action local de lutte contre le racisme conclu par faible montant de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011756/YOU).;Overheidsopdracht voor diensten tegen prijslijst met het doel de ontwikkeling van een lokaal actieplan tegen racisme afgesloten via beperkte waarde van de wet van 17/06/2016 (bestek nr CDA/011756/YOU).;2021-02-25;BEPAX ASBL - chaussée Saint-Pierre 208 - 1040 Bruxelles;6.438,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de services reconductible ayant pour but la confection, pendant 24 mois, d'autocollants pour la cellule Horeca du département Affaires Economiques conclu par faible montant de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011135/VHO).- Commandes supplémentaires.;Verlengbare overheidsopdracht voor diensten met het doel de vervaardiging, gedurende 24 maanden, van zelfklevers voor de cel Horeca van het departement Economische Zaken afgesloten via beperkte waarde van de wet van 17/06/2016 (bestek nr CDA/011135/VHO).- Bijkomende bestellingen.;2021-02-25;OTM-ZENITH SA - rue du Grand-Bigard 500 - 1082 Berchem-Sainte-Agathe;787,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et en 5 lots pour la livraison, pendant 12 mois, de bois et de bois durable conclu par procédure négociée sans publicité préalable en application de l'article 42 - § 1er - 1°a de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011727/CVB).- Commandes supplémentaires.;Overheidsopdracht voor leveringen tegen prijslijst en in 5 percelen met het doel de levering, gedurende 12 maanden, van hout en duurzaam hout afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/011727/CVB).- Bijkomende bestellingen.;2021-11-03;MAGASINS EUGENE SCHMIDT & CIE SA - rue du Pannenhuys 215-219 - 1090 Bruxelles;6.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but l'enlèvement et le traitement, pendant 60 mois, des déchets triés (déchets résiduels, PMC, papier-carton mélangé et verre) pour différents départements de la Ville conclu par adjudication ouverte en application de la loi du 15/06/2006 (cahier spécial des charges n° CDA/008924/DDR). - Extension.;Overheidsopdracht voor diensten tegen prijslijst met het doel het ophalen en verwerken, gedurende 60 maanden, van het gesorteerd afval (restafval, PMD, gemengd papier-karton en glas) voor verscheidene departementen van de Stad afgesloten via open aanbesteding van de wet van 15/06/2006 (bestek nr CDA/008924/DDR). - Uitbreiding.;2021-11-03;Bruxelles-Propreté, Agence Régionale pour la Propreté - avenue de Broqueville 12 - 1150 Bruxelles;3.861,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures reconductible à bordereau de prix ayant pour but la fourniture, pendant 12 mois, de câbles électriques conclu par procédure négociée sans publicité en application de l'article 26 - § 1er - 1°a de la loi du 15/06/2006 (cahier spécial des charges n° CDA/009051/BUB).- Reconduction.;Verlengbare overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 12 maanden, van elektrische kabels afgesloten via onderhandelingsprocedure zonder bekendmaking overeenkomstig artikel 26 - § 1 - 1°a van de wet van 15/06/2006   (bestek nr CDA/009051/BUB).- Verlenging.;2021-03-18;CEBEO SA - boulevard Louis Schmidt 3/1 - 1040 Bruxelles;33.196,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de services ayant pour but l'entretien et la réparation, pendant 36 mois, des engins de gymnastique pour le département Instruction Publique conclu par procédure négociée sans publicité préalable en application de l'article 42 - § 1er - 1°a de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011754/BEN).;Marché public de services ayant pour but l'entretien et la réparation, pendant 36 mois, des engins de gymnastique pour le département Instruction Publique afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/011754/BEN).;2021-03-25;IDEMASPORT SA - avenue Léoppold Wiener 98 - 1170 Bruxelles;73.105,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures reconductible à bordereau de prix ayant pour but la fourniture, pendant 24 mois, de nettoyeurs haute pression, conclu par procédure négociée sans publicité préalable en application de l'article 42 - § 1er - 1°a de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010264/CVB). - Reconduction.;Verlengbare overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 24 maanden, van hogedrukreinigers, afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/010264/CVB). - Verlenging.;2021-04-22;DEGECO SA - avenue de l'Optimisme 15 - 1140 Evere;26.603,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures reconductible à bordereau de prix ayant pour but la fourniture, pendant 24 mois, d'outillage de peinture, de revêtements muraux et de sol, et d'accessoires de peinture et de tapissage, conclu par faible montant de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011777/PAD).;Verlengbare overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 24 maanden, van verfgereedschap, vloer- en muurbekledingen, en toebehoren voor verven en behangen, afgesloten via beperkte waarde van de wet van 17/06/2016 (bestek nr CDA/011777/PAD).;2021-04-22;ROELS R&A SA - rue Gallait 52-56 - 1030 Bruxelles;24.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures reconductible à bordereau de prix ayant pour but la fourniture, pendant 12 mois, d'armoires blindées, conclu par faible montant de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011253/NOR). - Commandes supplémentaires.;Verlengbare overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 12 maanden, van gepantserde kast, afgesloten via beperkte waarde van de wet van 17/06/2016 (bestek nr CDA/011253/NOR). - Bijkomende bestellingen.;2021-04-29;ROBBERECHTS NV - Slachthuisstraat 21B - 2300 Turnhout;7.020,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de services en 2 lots ayant pour but le nettoyage, pendant 60 mois, des vitres et des châssis des bâtiments communaux, conclu par adjudication ouverte de la loi du 15/06/2006 (cahier spécial des charges n° CDA/007193/BEN). - Prolongation.;Overheidsopdracht voor diensten in 2 percelen met het doel de reinigen, gedurende 60 maanden, van de ruiten en de ramen van de gemeentelijke gebouwen, afgesloten via open aanbesteding van de wet van 15/06/2006 (bestek nr CDA/007193/BEN). - Verlenging.;2021-04-29;GOM NV - Noorderplaats 7/1 -;214.118,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et en 3 lots, pendant 12 mois, ayant pour but la fourniture de consommables techniques d'impression numérique pour le département Instruction Publique, conclu par procédure ouverte en application de l'article 36 de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011442/DCH).;Overheidsopdracht voor leveringen tegen prijslijst en in 3 percelen, gedurende 12 maanden, met het doel de levering van verbruiksgoederen voor digitale afdruk voor verschillende scholen van het departement Openbaar Onderwijs, afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/011442/DCH).;2021-06-05;PANTOON NV - Frankrijkstraat 5 - 9140 Temse;22.523,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures reconductible et à bordereau de prix ayant pour but la fourniture, pendant 12 mois, de vêtements de travail et de bottines pour soudeurs, conclu par procédure négociée sans publicité en application de l'article 26 - § 1er - 1°a de la loi du 15/06/2006 (cahier spécial des charges n° CDA/008582/NOR).  - Commandes supplémentaires.;Verlengbare overheidsopdracht voor leveringen en tegen prijslijst met het doel de levering, gedurende 12 maanden, van werkkledij en veiligheidsbottines voor lassers, afgesloten via onderhandelingsprocedure zonder bekendmaking overeenkomstig artikel 26 - § 1 - 1°a van de wet van 15/06/2006  (bestek nr CDA/008582/NOR). - Bijkomende bestellingen.;2021-06-05;VDP SAFETY NV - Binnensteenweg 160 - 2530 Boechout;2.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;"Marché public de fournitures reconductible et à bordereau de prix ayant pour but la confection et la fourniture, pendant 12 mois, de différents ""goodies"" écoresponsables à l'effigie de la Ville de Bruxelles, conclu par faible montant de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011266/YOU). -  Commandes supplémentaires.";"Verlengbare overheidsopdracht voor leveringen tegen prijslijst met het doel de vervaardiging en de levering, gedurende 12 maanden, van verschillende milieuvriendelijke ""goodies"" met de beeldenaar van de Stad Brussel, afgesloten via beperkte waarde van de wet van 17/06/2016 (bestek nr CDA/011266/YOU).  - Bijkomende bestellingen.";2021-06-05;BUSINESS GIFTS - rue de l'Augette 29 - 1330 Rixensart;8.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public reconductible de fournitures à bordereau de prix et en 10 lots ayant pour but la fourniture, pendant 12 mois, de consommables techniques périssables paramédicaux pour la Haute Ecole Francisco Ferrer du département Instruction Publique conclu par procédure négociée sans publicité préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011334/LDR).- Commandes supplémentaires.;"Verlengbare overheidsopdracht voor leveringen tegen prijslijst en in 10 percelen met het doel de levering, gedurende 12 maanden, van vergankelijke paramedische technische verbruiksartikelen voor de ""Haute Ecole Francisco Ferrer"" van het departement Openbaar Onderwijs afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/011334/LDR).- Bijkomende bestellingen.";2021-05-20;"INTERNATIONAL MEDICAL PRODUCTS SA (Lot 1 : 979,17 €)
SOPACHEM NV 
(Lot 2 : 6.294,03 €)                               
VWR INTERNATIONAL BVBA                                  
(Lot 3 : 4.237,13 €)                              
THERMO FISHER DIAGNOSTICS NV                       
(Lot 4 : 5.077,72 €)                                
STAGO BNL BV SE                                  
(Lot 5 : 680,59 €)                          
INTERNATIONAL MEDICAL PRODUCTS SA (Lot 6 : 1.911,57 €)                         
BIO-RAD LABORATORIES NV                       
(Lot 7 : 1.018,75 €)                              
BIOMERIEUX BENELUX SA                      
(Lot 8 : 3.594,07 €)                    
BIOMEDICAL DIAGNOSTICS NV                       
(Lot 9 : 1.289,27 €)                         
BIOGNOST BVBA                                   
(Lot 10 : 770,87 €)";25.853,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 24 mois, de panneaux en bois, conclu par procédure négociée sans publicité préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011141/CVB).- Extension.;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 24 maanden, van houten panelen, afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/011141/CVB). - Uitbreiding.;2021-05-20;MAGASINS EUGENE SCHMIDT & CIE SA - rue du Pannenhuys 215-219 - 1090 Bruxelles;55.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures reconductible à bordereau de prix ayant pour but la fourniture, pendant 12 mois, de gourdes durables personnalisées pour tous les membres du personnel de la Ville de Bruxelles, conclu par procédure négociée sans publicité préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011259/LDR).- Commandes supplémentaires.;Verlengbare overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 12 maanden, van gepersonaliseerde duurzame drinkbussen voor alle personeelsleden van Stad Brussel, afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/011259/LDR). - Bijkomende bestellingen.;2021-05-27;EURO-GIFTS BELGIUM NV - Hoogweg 38 - 8940 Wervik;30.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but l'enlèvement et le traitement, pendant 60 mois, des déchets triés (déchets résiduels, PMC, papier-carton mélangé et verre) pour différents départements de la Ville conclu par adjudication ouverte en application de la loi du 15/06/2006 (cahier spécial des charges n° CDA/008924/BEN). - Extension n°14.;Overheidsopdracht voor diensten tegen prijslijst met het doel het ophalen en verwerken, gedurende 60 maanden, van het gesorteerd afval (restafval, PMD, gemengd papier-karton en glas) voor verscheidene departementen van de Stad afgesloten via open aanbesteding van de wet van 15/06/2006 (bestek nr CDA/008924/BEN). - Uitbreiding nr 14.;2021-05-27;Bruxelles-Propreté, Agence Régionale pour la Propreté - avenue de Broqueville 12 - 1150 Bruxelles;19.681,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale d'Achats / Aankoopcentrale;Marché public de services reconductible à bordereau de prix ayant pour but l'accordage et la réparation, pendant 24 mois, des pianos, conclu par procédure négociée sans publicité préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/011839/BEN).;Verlengbare overheidsopdracht voor diensten tegen prijslijst met het doel het stemmen en de herstelling, gedurende 24 maanden, van de piano's, afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42 - § 1 - 1°a van de wet van 17/06/2016 (bestek nr CDA/011839/BEN).;2021-10-06;PIANO'S MAENE NV - Industriestraat 42 - 8755 Ruislede;35.371,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
